Date,Category,Note,Amount,Income/Expense,Amount.1
2021-12-17,Other,Gave to gowdham,50.0,Expense,50.0
2021-12-16,Food,Egg,30.0,Expense,30.0
2021-12-16,Food,Panipoori,20.0,Expense,20.0
2021-12-16,Food,Lunch,30.0,Expense,30.0
2021-12-16,Food,Milk with bharath,110.0,Expense,110.0
2021-12-14,Food,Lunch,40.0,Expense,40.0
2021-12-14,Food,Snacks,75.0,Expense,75.0
2021-12-14,Food,Panipoori,80.0,Expense,80.0
2021-12-14,Food,Snacks,74.0,Expense,74.0
2021-12-14,Food,Milk with bharath,65.0,Expense,65.0
2021-12-12,Food,Milk with bharath,25.0,Expense,25.0
2021-12-11,Allowance,From dad,1000.0,Income,1000.0
2021-12-11,Other,From stu,240.0,Income,240.0
2021-12-10,Food,Shopping,241.0,Expense,241.0
2021-12-10,Food,Momos,195.0,Expense,195.0
2021-12-09,Food,Snack with bharath,40.0,Expense,40.0
2021-12-09,Food,Lunch with company,280.0,Expense,280.0
2021-12-09,Food,Milk with bharath,25.0,Expense,25.0
2021-12-09,Food,Breakfast with stu,110.0,Expense,110.0
2021-12-08,Food,Lunch with stu,100.0,Expense,100.0
2021-12-08,Food,5 star,1120.72,Expense,15.0
2021-12-08,Food,Milk,10.0,Expense,10.0
2021-12-07,Food,Milk with bharath,25.0,Expense,25.0
2021-12-07,Food,Horlicks,15.0,Expense,15.0
2021-12-06,Food,Milk with bharath,25.0,Expense,25.0
2021-12-06,Apparel,Shoe,500.0,Expense,500.0
2021-12-06,Apparel,Cap,140.0,Expense,140.0
2021-12-06,Food,Lunch with stu,150.0,Expense,150.0
2021-12-05,Food,Milk with bharath,25.0,Expense,25.0
2021-12-05,Apparel,Full hand and a hoodie,1800.0,Expense,1800.0
2021-12-05,Household,Rent,4800.0,Expense,4800.0
2021-12-05,Allowance,From dad,8000.0,Income,8000.0
2021-12-04,Food,Dinner,324.0,Expense,324.0
2021-12-04,Food,Snack,65.0,Expense,65.0
2021-12-04,Other,For company,30.0,Expense,30.0
2021-12-04,Food,Breakfast,200.0,Expense,200.0
2021-12-03,Food,Milk with bharath,25.0,Expense,25.0
2021-12-03,Apparel,Belt,130.0,Expense,130.0
2021-12-03,Apparel,Mask,20.0,Expense,20.0
