Date,Account,Category,Note,Income/Expense,Amount
2021-12-17,CUB - online payment,Other,Gave to gowdham,Expense,50.0
2021-12-16,CUB - online payment,Food,Egg,Expense,30.0
2021-12-16,CUB - online payment,Food,Panipoori,Expense,20.0
2021-12-16,CUB - online payment,Food,Lunch,Expense,30.0
2021-12-16,CUB - online payment,Food,Milk with bharath,Expense,110.0
2021-12-14,CUB - online payment,Food,Lunch,Expense,40.0
2021-12-14,CUB - online payment,Food,Snacks,Expense,75.0
2021-12-14,CUB - online payment,Food,Panipoori,Expense,80.0
2021-12-14,CUB - online payment,Food,Snacks,Expense,74.0
2021-12-14,CUB - online payment,Food,Milk with bharath,Expense,65.0
2021-12-12,CUB - online payment,Food,Milk with bharath,Expense,25.0
2021-12-11,CUB - online payment,Allowance,From dad,Income,1000.0
2021-12-11,CUB - online payment,Other,From stu,Income,240.0
2021-12-10,CUB - online payment,Food,Shopping,Expense,241.0
2021-12-10,CUB - online payment,Food,Momos,Expense,195.0
2021-12-09,CUB - online payment,Food,Snack with bharath,Expense,40.0
2021-12-09,CUB - online payment,Food,Lunch with company,Expense,280.0
2021-12-09,CUB - online payment,Food,Milk with bharath,Expense,25.0
2021-12-09,CUB - online payment,Food,Breakfast with stu,Expense,110.0
2021-12-08,CUB - online payment,Food,Lunch with stu,Expense,100.0
2021-12-08,Cash,Food,5 star,Expense,15.0
2021-12-08,CUB - online payment,Food,Milk,Expense,10.0
2021-12-07,CUB - online payment,Food,Milk with bharath,Expense,25.0
2021-12-07,CUB - online payment,Food,Horlicks,Expense,15.0
2021-12-06,CUB - online payment,Food,Milk with bharath,Expense,25.0
2021-12-06,CUB - online payment,Apparel,Shoe,Expense,500.0
2021-12-06,CUB - online payment,Apparel,Cap,Expense,140.0
2021-12-06,CUB - online payment,Food,Lunch with stu,Expense,150.0
2021-12-05,CUB - online payment,Food,Milk with bharath,Expense,25.0
2021-12-05,CUB - online payment,Apparel,Full hand and a hoodie,Expense,1800.0
2021-12-05,CUB - online payment,Household,Rent,Expense,4800.0
2021-12-05,CUB - online payment,Allowance,From dad,Income,8000.0
2021-12-04,CUB - online payment,Food,Dinner,Expense,324.0
2021-12-04,CUB - online payment,Food,Snack,Expense,65.0
2021-12-04,CUB - online payment,Other,For company,Expense,30.0
2021-12-04,CUB - online payment,Food,Breakfast,Expense,200.0
2021-12-03,CUB - online payment,Food,Milk with bharath,Expense,25.0
2021-12-03,CUB - online payment,Apparel,Belt,Expense,130.0
2021-12-03,CUB - online payment,Apparel,Mask,Expense,20.0
2021-12-03,CUB - online payment,Food,Snack,Expense,40.0
2021-12-03,CUB - online payment,Allowance,From dad,Income,1000.0
2021-12-02,CUB - online payment,Food,Ice cream,Expense,504.0
2021-12-02,CUB - online payment,Food,Vadapaav,Expense,75.0
2021-12-01,CUB - online payment,Beauty,Showergel,Expense,196.0
2021-12-01,CUB - online payment,Food,Lunch with company,Expense,160.0
2021-11-30,CUB - online payment,Gift,Bharath birthday,Expense,115.0
2021-11-30,CUB - online payment,Food,Lunch with company,Expense,128.0
2021-11-30,CUB - online payment,Food,Breakfast,Expense,70.0
2021-11-29,CUB - online payment,Food,Lunch with company,Expense,40.0
2021-11-29,CUB - online payment,Food,Dinner,Expense,50.0
2021-11-29,CUB - online payment,Food,Panipoori,Expense,40.0
2021-11-29,CUB - online payment,Food,Breakfast,Expense,40.0
2021-11-28,CUB - online payment,Food,Snack,Expense,94.0
2021-11-28,CUB - online payment,Food,Zomato,Expense,269.4
2021-11-27,CUB - online payment,Food,Dinner with gowdham,Expense,120.0
2021-11-27,CUB - online payment,Food,Dinner with gowdham,Expense,130.0
2021-11-27,CUB - online payment,Transportation,Rapido,Expense,35.0
2021-11-27,CUB - online payment,Food,Lunch with company,Expense,75.0
2021-11-27,CUB - online payment,Allowance,From dad,Income,2000.0
2021-11-27,CUB - online payment,Food,Breakfast,Expense,30.0
2021-11-26,CUB - online payment,Food,Beer,Expense,150.0
2021-11-26,CUB - online payment,Food,Snack,Expense,102.0
2021-11-26,CUB - online payment,Food,Panipoori,Expense,40.0
2021-11-26,CUB - online payment,Petty cash,Cashback,Income,3.0
2021-11-26,CUB - online payment,Food,Lunch with company,Expense,150.0
2021-11-26,CUB - online payment,Food,Breakfast,Expense,60.0
2021-11-25,CUB - online payment,Food,Lunch with company,Expense,145.0
